t,x,y
7.296084,0.963042,-0.499590
7.360193,0.963042,-0.499590
7.407397,0.963042,-0.499590
7.456167,0.963042,-0.499590
7.503981,0.963042,-0.499590
7.551429,0.963042,-0.499590
7.599316,0.963042,-0.499590
7.647984,0.963042,-0.499590
7.711636,0.963042,-0.499590
7.743825,0.963042,-0.499590
7.808180,0.963042,-0.499590
7.855357,0.963042,-0.499590
7.903944,0.963042,-0.499590
7.951937,0.963042,-0.499590
7.999961,0.963042,-0.499590
8.047944,0.963042,-0.499590
8.096101,0.963042,-0.499590
8.144128,0.963042,-0.499590
8.208230,0.963042,-0.499590
8.255954,0.963042,-0.499590
8.303926,0.963042,-0.499590
8.352149,0.963042,-0.499590
8.399372,0.963042,-0.499590
8.447303,0.963042,-0.499590
8.496238,0.963042,-0.499590
8.560204,0.963042,-0.499590
8.608118,0.963042,-0.499590
8.655948,0.963042,-0.499590
8.704108,0.963042,-0.499590
8.752200,0.963042,-0.499590
8.799324,0.963042,-0.499590
8.848111,0.963042,-0.499590
8.896267,0.963042,-0.499590
8.943479,0.963042,-0.499590
9.008135,0.963042,-0.499590
9.055958,0.963042,-0.499590
9.104038,0.963042,-0.499590
9.167715,0.963042,-0.499590
9.199349,0.963042,-0.499590
9.247982,0.963042,-0.499590
9.296102,0.963042,-0.499590
9.344195,0.963042,-0.499590
9.408050,0.963042,-0.499590
9.455529,0.963042,-0.499590
9.504045,0.963042,-0.499590
9.552259,0.963042,-0.499590
9.599257,0.963042,-0.499590
9.647403,0.963042,-0.499590
9.712302,0.963042,-0.499590
9.759482,0.963042,-0.499590
9.807288,0.963042,-0.499590
9.856088,0.963042,-0.499590
9.904107,0.963042,-0.499590
9.953049,0.963042,-0.499590
10.000143,0.963042,-0.499590
10.047964,0.963042,-0.499590
10.096177,0.963042,-0.499590
10.144207,0.963042,-0.499590
10.207295,0.963042,-0.499590
10.256161,0.963042,-0.499590
10.303978,0.963042,-0.499590
10.353009,0.963042,-0.499590
10.400086,0.963042,-0.499590
10.447589,0.963042,-0.499590
10.496203,0.963042,-0.499590
10.544244,0.963042,-0.499590
10.608062,0.963042,-0.499590
10.656132,0.963042,-0.499590
10.704101,0.963042,-0.499590
10.752280,0.963042,-0.499590
10.800026,0.963042,-0.499590
10.848000,0.963042,-0.499590
10.895383,0.963042,-0.499590
10.943454,0.963042,-0.499590
11.008157,0.963042,-0.499590
11.056122,0.963042,-0.499590
11.104162,0.963042,-0.499590
11.152962,0.963042,-0.499590
11.199334,0.963042,-0.499590
11.248132,0.963042,-0.499590
11.296098,0.963042,-0.499590
11.343811,0.963042,-0.499590
11.407577,0.963042,-0.499590
11.456165,0.963042,-0.499590
11.504081,0.963042,-0.499590
11.552517,0.963042,-0.499590
11.599437,0.963042,-0.499590
11.648146,0.963042,-0.499590
11.712701,0.963042,-0.499590
11.743783,0.963042,-0.499590
11.807645,0.963042,-0.499590
